X	Y (m)	z(m)
1	4.07E+03	3.58
1	4.07E+03	3.58
1	4.08E+03	3.58
1	4.08E+03	3.58
1	4.08E+03	3.58
1	4.09E+03	3.6
1	4.09E+03	3.6
1	4.09E+03	3.6
1	4.10E+03	3.6
1	4.10E+03	3.6
1	4.10E+03	3.6
1	4.11E+03	3.6
1	4.11E+03	3.6
1	4.11E+03	3.6
1	4.12E+03	3.6
1	4.12E+03	3.6
1	4.12E+03	3.6
1	4.13E+03	3.6
1	4.13E+03	3.6
1	4.14E+03	3.62
1	4.14E+03	3.62
1	4.14E+03	3.62
1	4.15E+03	3.62
1	4.15E+03	3.62
1	4.15E+03	3.63
1	4.16E+03	3.63
1	4.16E+03	3.63
1	4.16E+03	3.63
1	4.17E+03	3.63
1	4.17E+03	3.63
1	4.17E+03	3.63
1	4.18E+03	3.63
1	4.18E+03	3.63
1	4.19E+03	3.64
1	4.19E+03	3.64
1	4.19E+03	3.64
1	4.20E+03	3.64
1	4.20E+03	3.65
1	4.20E+03	3.65
1	4.21E+03	3.65
1	4.21E+03	3.65
1	4.21E+03	3.65
1	4.22E+03	3.66
1	4.22E+03	3.66
1	4.22E+03	3.66
1	4.23E+03	3.66
1	4.23E+03	3.66
1	4.23E+03	3.66
1	4.24E+03	3.66
1	4.24E+03	3.66
1	4.25E+03	3.66
1	4.25E+03	3.67
1	4.25E+03	3.67
1	4.26E+03	3.67
1	4.26E+03	3.67
1	4.26E+03	3.67
1	4.27E+03	3.68
1	4.27E+03	3.68
1	4.27E+03	3.68
1	4.28E+03	3.68
1	4.28E+03	3.68
1	4.28E+03	3.69
1	4.29E+03	3.69
1	4.29E+03	3.69
1	4.29E+03	3.69
1	4.30E+03	3.69
1	4.30E+03	3.69
1	4.31E+03	3.69
1	4.31E+03	3.7
1	4.31E+03	3.7
1	4.32E+03	3.7
1	4.32E+03	3.7
1	4.32E+03	3.7
1	4.33E+03	3.7
1	4.33E+03	3.7
1	4.33E+03	3.71
1	4.34E+03	3.71
1	4.34E+03	3.71
1	4.34E+03	3.71
1	4.35E+03	3.72
1	4.35E+03	3.72
1	4.36E+03	3.72
1	4.36E+03	3.72
1	4.36E+03	3.72
1	4.37E+03	3.73
1	4.37E+03	3.73
1	4.37E+03	3.73
1	4.38E+03	3.73
1	4.38E+03	3.73
1	4.38E+03	3.73
1	4.39E+03	3.73
1	4.39E+03	3.73
1	4.39E+03	3.73
1	4.40E+03	3.74
1	4.40E+03	3.74
1	4.40E+03	3.74
1	4.41E+03	3.74
1	4.41E+03	3.74
1	4.42E+03	3.75
1	4.42E+03	3.75
1	4.42E+03	3.75
1	4.43E+03	3.75
1	4.43E+03	3.75
1	4.43E+03	3.76
1	4.44E+03	3.76
1	4.44E+03	3.76
1	4.44E+03	3.76
1	4.45E+03	3.76
1	4.45E+03	3.76
1	4.45E+03	3.76
1	4.46E+03	3.76
1	4.46E+03	3.76
1	4.47E+03	3.77
1	4.47E+03	3.77
1	4.47E+03	3.77
1	4.48E+03	3.77
1	4.48E+03	3.77
1	4.48E+03	3.77
1	4.49E+03	3.78
1	4.49E+03	3.78
1	4.49E+03	3.78
1	4.50E+03	3.78
1	4.50E+03	3.78
1	4.50E+03	3.79
1	4.51E+03	3.79
1	4.51E+03	3.79
1	4.51E+03	3.79
1	4.52E+03	3.79
1	4.52E+03	3.79
1	4.53E+03	3.79
1	4.53E+03	3.79
1	4.53E+03	3.79
1	4.54E+03	3.79
1	4.54E+03	3.8
1	4.54E+03	3.8
1	4.55E+03	3.8
1	4.55E+03	3.8
1	4.55E+03	3.8
1	4.56E+03	3.8
1	4.56E+03	3.81
1	4.56E+03	3.81
1	4.57E+03	3.81
1	4.57E+03	3.81
1	4.57E+03	3.81
1	4.58E+03	3.81
1	4.58E+03	3.81
1	4.59E+03	3.81
1	4.59E+03	3.81
1	4.59E+03	3.81
1	4.60E+03	3.81
1	4.60E+03	3.81
1	4.60E+03	3.81
1	4.61E+03	3.81
1	4.61E+03	3.81
1	4.61E+03	3.81
1	4.62E+03	3.81
1	4.62E+03	3.83
1	4.62E+03	3.83
1	4.63E+03	3.83
1	4.63E+03	3.83
1	4.64E+03	3.83
1	4.64E+03	3.83
1	4.64E+03	3.83
1	4.65E+03	3.83
1	4.65E+03	3.83
1	4.65E+03	3.83
1	4.66E+03	3.83
1	4.66E+03	3.83
1	4.66E+03	3.85
1	4.67E+03	3.85
1	4.67E+03	3.85
1	4.67E+03	3.85
1	4.68E+03	3.85
1	4.68E+03	3.85
1	4.68E+03	3.85
1	4.69E+03	3.85
1	4.69E+03	3.85
1	4.70E+03	3.85
1	4.70E+03	3.85
1	4.70E+03	3.85
1	4.71E+03	3.85
1	4.71E+03	3.85
1	4.71E+03	3.85
1	4.72E+03	3.85
1	4.72E+03	3.85
1	4.72E+03	3.85
1	4.73E+03	3.87
1	4.73E+03	3.87
1	4.73E+03	3.87
1	4.74E+03	3.87
1	4.74E+03	3.87
1	4.75E+03	3.87
1	4.75E+03	3.88
1	4.75E+03	3.88
1	4.76E+03	3.88
1	4.76E+03	3.88
1	4.76E+03	3.88
1	4.77E+03	3.88
1	4.77E+03	3.89
1	4.77E+03	3.89
1	4.78E+03	3.89
1	4.78E+03	3.89
1	4.78E+03	3.89
1	4.79E+03	3.89
1	4.79E+03	3.89
1	4.79E+03	3.89
1	4.80E+03	3.89
1	4.80E+03	3.89
1	4.81E+03	3.89
1	4.81E+03	3.89
1	4.81E+03	3.89
1	4.82E+03	3.9
1	4.82E+03	3.9
