X	Y (m)	z(m)		
	"3.07e3,"	3.06		
	"3.07e3,"	3.07		
	"3.08e3,"	3.07		
	"3.08e3,"	3.07		
	"3.08e3,"	3.07		
	"3.09e3,"	3.08		
	"3.09e3,"	3.08		
	"3.09e3,"	3.08		
	"3.1e3,"	3.08		
	"3.1e3,"	3.09		
	"3.1e3,"	3.09		
	"3.11e3,"	3.09		
	"3.11e3,"	3.09		
	"3.11e3,"	3.09		
	"3.12e3,"	3.09		
	"3.12e3,"	3.09		
	"3.13e3,"	3.1		
	"3.13e3,"	3.1		
	"3.13e3,"	3.1		
	"3.14e3,"	3.1		
	"3.14e3,"	3.11		
	"3.14e3,"	3.11		
	"3.15e3,"	3.11		
	"3.15e3,"	3.12		
	"3.15e3,"	3.12		
	"3.16e3,"	3.12		
	"3.16e3,"	3.12		
	"3.16e3,"	3.12		
	"3.17e3,"	3.12		
	"3.17e3,"	3.12		
	"3.18e3,"	3.12		
	"3.18e3,"	3.13		
	"3.18e3,"	3.13		
	"3.19e3,"	3.13		
	"3.19e3,"	3.14		
	"3.19e3,"	3.14		
	"3.2e3,"	3.14		
	"3.2e3,"	3.14		
	"3.2e3,"	3.15		
	"3.21e3,"	3.15		
	"3.21e3,"	3.15		
	"3.21e3,"	3.15		
	"3.22e3,"	3.15		
	"3.22e3,"	3.15		
	"3.22e3,"	3.15		
	"3.23e3,"	3.15		
	"3.23e3,"	3.16		
	"3.24e3,"	3.16		
	"3.24e3,"	3.16		
	"3.24e3,"	3.17		
	"3.25e3,"	3.17		
	"3.25e3,"	3.17		
	"3.25e3,"	3.17		
	"3.26e3,"	3.18		
	"3.26e3,"	3.18		
	"3.26e3,"	3.18		
	"3.27e3,"	3.18		
	"3.27e3,"	3.18		
	"3.27e3,"	3.18		
	"3.28e3,"	3.18		
	"3.28e3,"	3.18		
	"3.28e3,"	3.19		
	"3.29e3,"	3.19		
	"3.29e3,"	3.19		
	"3.3e3,"	3.19		
	"3.3e3,"	3.2		
	"3.3e3,"	3.2		
	"3.31e3,"	3.2		
	"3.31e3,"	3.2		
	"3.31e3,"	3.21		
	"3.32e3,"	3.21		
	"3.32e3,"	3.21		
	"3.32e3,"	3.21		
	"3.33e3,"	3.21		
	"3.33e3,"	3.21		
	"3.33e3,"	3.21		
	"3.34e3,"	3.22		
	"3.34e3,"	3.22		
	"3.35e3,"	3.22		
	"3.35e3,"	3.22		
	"3.35e3,"	3.23		
	"3.36e3,"	3.23		
	"3.36e3,"	3.23		
	"3.36e3,"	3.23		
	"3.37e3,"	3.24		
	"3.37e3,"	3.24		
	"3.37e3,"	3.24		
	"3.38e3,"	3.24		
	"3.38e3,"	3.25		
	"3.38e3,"	3.25		
	"3.39e3,"	3.25		
	"3.39e3,"	3.25		
	"3.39e3,"	3.25		
	"3.4e3,"	3.25		
	"3.4e3,"	3.25		
	"3.41e3,"	3.25		
	"3.41e3,"	3.26		
	"3.41e3,"	3.26		
	"3.42e3,"	3.26		
	"3.42e3,"	3.26		
	"3.42e3,"	3.27		
	"3.43e3,"	3.27		
	"3.43e3,"	3.27		
	"3.43e3,"	3.27		
	"3.44e3,"	3.28		
	"3.44e3,"	3.28		
	"3.44e3,"	3.28		
	"3.45e3,"	3.28		
	"3.45e3,"	3.28		
	"3.45e3,"	3.28		
	"3.46e3,"	3.28		
	"3.46e3,"	3.28		
	"3.47e3,"	3.29		
	"3.47e3,"	3.29		
	"3.47e3,"	3.29		
	"3.48e3,"	3.29		
	"3.48e3,"	3.3		
	"3.48e3,"	3.3		
	"3.49e3,"	3.3		
	"3.49e3,"	3.3		
	"3.49e3,"	3.3		
	"3.5e3,"	3.31		
	"3.5e3,"	3.31		
	"3.5e3,"	3.31		
	"3.51e3,"	3.31		
	"3.51e3,"	3.31		
	"3.52e3,"	3.31		
	"3.52e3,"	3.31		
	"3.52e3,"	3.31		
	"3.53e3,"	3.32		
	"3.53e3,"	3.32		
	"3.53e3,"	3.32		
	"3.54e3,"	3.32		
	"3.54e3,"	3.33		
	"3.54e3,"	3.33		
	"3.55e3,"	3.33		
	"3.55e3,"	3.33		
	"3.55e3,"	3.34		
	"3.56e3,"	3.34		
	"3.56e3,"	3.34		
	"3.56e3,"	3.34		
	"3.57e3,"	3.34		
	"3.57e3,"	3.34		
	"3.58e3,"	3.34		
	"3.58e3,"	3.34		
	"3.58e3,"	3.35		
	"3.59e3,"	3.35		
	"3.59e3,"	3.35		
	"3.59e3,"	3.35		
	"3.6e3,"	3.35		
	"3.6e3,"	3.35		
	"3.6e3,"	3.35		
	"3.61e3,"	3.35		
	"3.61e3,"	3.35		
	"3.61e3,"	3.37		
	"3.62e3,"	3.37		
	"3.62e3,"	3.37		
	"3.63e3,"	3.37		
	"3.63e3,"	3.37		
	"3.63e3,"	3.37		
	"3.64e3,"	3.37		
	"3.64e3,"	3.37		
	"3.64e3,"	3.38		
	"3.65e3,"	3.38		
	"3.65e3,"	3.38		
	"3.65e3,"	3.38		
	"3.66e3,"	3.38		
	"3.66e3,"	3.39		
	"3.66e3,"	3.39		
	"3.67e3,"	3.39		
	"3.67e3,"	3.39		
	"3.67e3,"	3.4		
	"3.68e3,"	3.4		
	"3.68e3,"	3.4		
	"3.69e3,"	3.4		
	"3.69e3,"	3.41		
	"3.69e3,"	3.41		
	"3.7e3,"	3.41		
	"3.7e3,"	3.41		
	"3.7e3,"	3.41		
	"3.71e3,"	3.41		
	"3.71e3,"	3.41		
	"3.71e3,"	3.41		
	"3.72e3,"	3.41		
	"3.72e3,"	3.42		
	"3.72e3,"	3.42		
	"3.73e3,"	3.42		
	"3.73e3,"	3.42		
	"3.73e3,"	3.43		
	"3.74e3,"	3.43		
	"3.74e3,"	3.43		
	"3.75e3,"	3.43		
	"3.75e3,"	3.43		
	"3.75e3,"	3.44		
	"3.76e3,"	3.44		
	"3.76e3,"	3.44		
	"3.76e3,"	3.44		
	"3.77e3,"	3.44		
	"3.77e3,"	3.44		
	"3.77e3,"	3.44		
	"3.78e3,"	3.44		
	"3.78e3,"	3.44		
	"3.78e3,"	3.45		
	"3.79e3,"	3.45		
	"3.79e3,"	3.45		
	"3.8e3,"	3.45		
	"3.8e3,"	3.46		
	"3.8e3,"	3.46		
	"3.81e3,"	3.46		
	"3.81e3,"	3.46		
